fold,fpr,tpr,auc
1,0.0,0.0,0.7083333333333333
1,0.0,0.125,0.7083333333333333
1,0.0,0.375,0.7083333333333333
1,0.2222222222222222,0.375,0.7083333333333333
1,0.2222222222222222,0.625,0.7083333333333333
1,0.5555555555555556,0.625,0.7083333333333333
1,0.5555555555555556,0.875,0.7083333333333333
1,0.7777777777777778,0.875,0.7083333333333333
1,0.7777777777777778,1.0,0.7083333333333333
1,1.0,1.0,0.7083333333333333
2,0.0,0.0,0.7361111111111112
2,0.0,0.125,0.7361111111111112
2,0.0,0.25,0.7361111111111112
2,0.1111111111111111,0.25,0.7361111111111112
2,0.1111111111111111,0.375,0.7361111111111112
2,0.2222222222222222,0.375,0.7361111111111112
2,0.2222222222222222,0.5,0.7361111111111112
2,0.3333333333333333,0.5,0.7361111111111112
2,0.3333333333333333,0.75,0.7361111111111112
2,0.5555555555555556,0.75,0.7361111111111112
2,0.5555555555555556,1.0,0.7361111111111112
2,1.0,1.0,0.7361111111111112
3,0.0,0.0,0.578125
3,0.0,0.125,0.578125
3,0.0,0.375,0.578125
3,0.125,0.375,0.578125
3,0.125,0.5,0.578125
3,0.25,0.5,0.578125
3,0.25,0.625,0.578125
3,1.0,0.625,0.578125
3,1.0,1.0,0.578125
4,0.0,0.0,0.765625
4,0.0,0.125,0.765625
4,0.0,0.5,0.765625
4,0.25,0.5,0.765625
4,0.25,0.75,0.765625
4,0.375,0.75,0.765625
4,0.375,0.875,0.765625
4,1.0,0.875,0.765625
4,1.0,1.0,0.765625
5,0.0,0.0,0.5714285714285714
5,0.0,0.14285714285714285,0.5714285714285714
5,0.0,0.2857142857142857,0.5714285714285714
5,0.1111111111111111,0.2857142857142857,0.5714285714285714
5,0.1111111111111111,0.42857142857142855,0.5714285714285714
5,0.3333333333333333,0.42857142857142855,0.5714285714285714
5,0.3333333333333333,0.5714285714285714,0.5714285714285714
5,0.6666666666666666,0.5714285714285714,0.5714285714285714
5,0.6666666666666666,0.7142857142857143,0.5714285714285714
5,0.8888888888888888,0.7142857142857143,0.5714285714285714
5,0.8888888888888888,0.8571428571428571,0.5714285714285714
5,1.0,0.8571428571428571,0.5714285714285714
5,1.0,1.0,0.5714285714285714
