feature,count,proportion,in_all_seeds,mean_rank,median_rank,best_rank,worst_rank
cerebrum_frontallobe_glszm_LargeAreaLowGrayLevelEmphasis_RL_absdiff,10,1.0,True,10.4,5.0,2,39
cerebrum_frontallobe_glszm_ZoneVariance_RL_absdiff,10,1.0,True,12.8,11.0,1,34
cerebrum_frontallobe_glszm_LargeAreaEmphasis_RL_absdiff,9,0.9,False,11.444444444444445,10.0,3,33
cerebrum_temporallobe_glszm_LargeAreaEmphasis_RL_absdiff,9,0.9,False,12.777777777777779,12.0,1,23
cerebrum_temporallobe_glszm_LargeAreaLowGrayLevelEmphasis_RL_absdiff,9,0.9,False,15.333333333333334,6.0,2,37
cerebrum_temporallobe_glszm_ZoneVariance_RL_absdiff,9,0.9,False,17.0,14.0,2,38
cerebrum_sub-lobar_firstorder_RootMeanSquared_RL_absdiff,9,0.9,False,19.0,10.0,1,60
cerebrum_frontallobe_glszm_LargeAreaHighGrayLevelEmphasis_RL_absdiff,9,0.9,False,21.666666666666668,18.0,7,48
cerebrum_limbiclobe_ngtdm_Coarseness_RL_absdiff,9,0.9,False,23.333333333333332,17.0,5,69
cerebrum_sub-lobar_firstorder_Energy_RL_absdiff,8,0.8,False,8.125,4.5,2,18
cerebrum_sub-lobar_firstorder_TotalEnergy_RL_absdiff,8,0.8,False,9.125,5.5,1,41
cerebrum_sub-lobar_firstorder_Skewness_RL_absdiff,8,0.8,False,30.5,22.0,5,74
cerebrum_sub-lobar_firstorder_Mean_RL_absdiff,7,0.7,False,31.714285714285715,25.0,8,67
cerebrum_temporallobe_glszm_LargeAreaHighGrayLevelEmphasis_RL_absdiff,7,0.7,False,37.42857142857143,38.0,10,63
cerebrum_temporallobe_glrlm_HighGrayLevelRunEmphasis_RL_absdiff,6,0.6,False,26.333333333333332,25.0,15,42
cerebrum_frontallobe_firstorder_Kurtosis_RL_absdiff,5,0.5,False,20.8,24.0,6,30
full_ct_glrlm_GrayLevelVariance,5,0.5,False,21.4,21.0,11,33
cerebrum_temporallobe_glcm_Autocorrelation_RL_absdiff,5,0.5,False,30.2,31.0,19,47
cerebrum_frontallobe_glszm_SmallAreaEmphasis_RL_absdiff,5,0.5,False,36.2,32.0,19,70
cerebrum_temporallobe_gldm_HighGrayLevelEmphasis_RL_absdiff,5,0.5,False,37.6,25.0,5,98
cerebrum_frontallobe_glszm_GrayLevelNonUniformityNormalized_RL_absdiff,5,0.5,False,40.2,40.0,6,77
cerebellum_anteriorlobe_glcm_ClusterShade_RL_ratio,4,0.4,False,4.25,3.5,1,9
cerebrum_frontallobe_firstorder_Mean_RL_absdiff,4,0.4,False,5.25,5.0,3,8
