fold,fpr,tpr,auc
1,0.0,0.0,0.6666666666666667
1,0.0,0.125,0.6666666666666667
1,0.0,0.5,0.6666666666666667
1,0.2222222222222222,0.5,0.6666666666666667
1,0.2222222222222222,0.625,0.6666666666666667
1,0.5555555555555556,0.625,0.6666666666666667
1,0.5555555555555556,0.75,0.6666666666666667
1,0.8888888888888888,0.75,0.6666666666666667
1,0.8888888888888888,0.875,0.6666666666666667
1,1.0,0.875,0.6666666666666667
1,1.0,1.0,0.6666666666666667
2,0.0,0.0,0.5694444444444444
2,0.0,0.125,0.5694444444444444
2,0.0,0.25,0.5694444444444444
2,0.1111111111111111,0.25,0.5694444444444444
2,0.1111111111111111,0.375,0.5694444444444444
2,0.2222222222222222,0.5,0.5694444444444444
2,0.5555555555555556,0.5,0.5694444444444444
2,0.5555555555555556,0.625,0.5694444444444444
2,0.6666666666666666,0.75,0.5694444444444444
2,1.0,0.75,0.5694444444444444
2,1.0,1.0,0.5694444444444444
3,0.0,0.0,0.7578125
3,0.0,0.125,0.7578125
3,0.0,0.375,0.7578125
3,0.125,0.375,0.7578125
3,0.125,0.5,0.7578125
3,0.25,0.5,0.7578125
3,0.25,0.625,0.7578125
3,0.375,0.75,0.7578125
3,0.5,0.75,0.7578125
3,0.5,0.875,0.7578125
3,0.75,0.875,0.7578125
3,0.75,1.0,0.7578125
3,1.0,1.0,0.7578125
4,0.0,0.0,0.7421875
4,0.0,0.125,0.7421875
4,0.0,0.5,0.7421875
4,0.125,0.5,0.7421875
4,0.125,0.625,0.7421875
4,0.25,0.625,0.7421875
4,0.25,0.75,0.7421875
4,0.75,0.75,0.7421875
4,0.75,0.875,0.7421875
4,0.875,0.875,0.7421875
4,1.0,1.0,0.7421875
5,0.0,0.0,0.7619047619047619
5,0.0,0.14285714285714285,0.7619047619047619
5,0.0,0.5714285714285714,0.7619047619047619
5,0.2222222222222222,0.5714285714285714,0.7619047619047619
5,0.2222222222222222,0.7142857142857143,0.7619047619047619
5,0.3333333333333333,0.7142857142857143,0.7619047619047619
5,0.5555555555555556,0.7142857142857143,0.7619047619047619
5,0.6666666666666666,0.7142857142857143,0.7619047619047619
5,0.6666666666666666,0.8571428571428571,0.7619047619047619
5,0.7777777777777778,0.8571428571428571,0.7619047619047619
5,0.7777777777777778,1.0,0.7619047619047619
5,1.0,1.0,0.7619047619047619
