feature,count,proportion,in_all_seeds,mean_rank,median_rank,best_rank,worst_rank
cerebrum_frontallobe_glszm_LargeAreaLowGrayLevelEmphasis_RL_absdiff,10,1.0,True,2.8,1.5,1,7
cerebrum_frontallobe_glszm_ZoneVariance_RL_absdiff,10,1.0,True,23.0,12.0,6,49
cerebrum_sub-lobar_firstorder_Energy_RL_absdiff,9,0.9,False,6.333333333333333,5.0,1,16
cerebrum_sub-lobar_firstorder_RootMeanSquared_RL_absdiff,9,0.9,False,16.0,10.0,3,37
cerebrum_frontallobe_glszm_LargeAreaEmphasis_RL_absdiff,9,0.9,False,17.444444444444443,12.0,3,45
cerebrum_sub-lobar_firstorder_TotalEnergy_RL_absdiff,9,0.9,False,24.77777777777778,18.0,9,48
cerebrum_temporallobe_glszm_LargeAreaEmphasis_RL_absdiff,8,0.8,False,4.5,3.5,1,14
cerebrum_frontallobe_glszm_LargeAreaHighGrayLevelEmphasis_RL_absdiff,8,0.8,False,11.25,7.5,1,44
cerebrum_temporallobe_glszm_ZoneVariance_RL_absdiff,8,0.8,False,25.5,24.5,8,49
cerebrum_temporallobe_glszm_LargeAreaLowGrayLevelEmphasis_RL_absdiff,7,0.7,False,10.142857142857142,5.0,1,32
cerebrum_limbiclobe_ngtdm_Coarseness_RL_absdiff,7,0.7,False,19.285714285714285,15.0,7,37
cerebrum_sub-lobar_firstorder_Mean_RL_absdiff,7,0.7,False,22.714285714285715,23.0,3,49
cerebrum_temporallobe_glrlm_HighGrayLevelRunEmphasis_RL_absdiff,4,0.4,False,18.5,18.5,6,31
cerebrum_sub-lobar_firstorder_Skewness_RL_absdiff,4,0.4,False,21.25,22.5,5,35
cerebrum_sub-lobar_glcm_ClusterShade_RL_absdiff,4,0.4,False,22.75,21.0,7,42
cerebrum_sub-lobar_glrlm_GrayLevelVariance_RL_absdiff,4,0.4,False,28.0,26.5,15,44
cerebrum_temporallobe_glszm_LargeAreaHighGrayLevelEmphasis_RL_absdiff,4,0.4,False,34.5,34.5,33,36
cerebellum_anteriorlobe_glcm_ClusterShade_RL_ratio,3,0.3,False,7.0,6.0,3,12
cerebrum_frontallobe_glszm_GrayLevelNonUniformityNormalized_RL_absdiff,3,0.3,False,11.333333333333334,9.0,8,17
cerebrum_sub-lobar_glcm_JointEntropy_RL_absdiff,3,0.3,False,13.0,8.0,2,29
cerebrum_temporallobe_gldm_HighGrayLevelEmphasis_RL_absdiff,3,0.3,False,13.666666666666666,3.0,2,36
cerebrum_temporallobe_glrlm_ShortRunHighGrayLevelEmphasis_RL_absdiff,3,0.3,False,21.333333333333332,26.0,10,28
cerebrum_sub-lobar_firstorder_Entropy_RL_absdiff,3,0.3,False,21.333333333333332,20.0,19,25
cerebrum_sub-lobar_glcm_SumEntropy_RL_absdiff,3,0.3,False,24.0,26.0,12,34
cerebrum_temporallobe_glrlm_GrayLevelVariance_RL_absdiff,3,0.3,False,26.333333333333332,30.0,17,32
brainstem_midbrain_ngtdm_Busyness_RL_ratio,2,0.2,False,5.0,5.0,4,6
cerebrum_sub-lobar_gldm_GrayLevelNonUniformity_RL_absdiff,2,0.2,False,6.5,6.5,4,9
cerebellum_posteriorlobe_glszm_LowGrayLevelZoneEmphasis_RL_absdiff,2,0.2,False,7.0,7.0,3,11
cerebrum_frontallobe_glszm_ZoneEntropy_RL_absdiff,2,0.2,False,8.5,8.5,4,13
full_ct_glszm_GrayLevelVariance,2,0.2,False,10.0,10.0,8,12
cerebrum_sub-lobar_glcm_MCC_RL_absdiff,2,0.2,False,11.0,11.0,7,15
cerebrum_sub-lobar_firstorder_Median_RL_absdiff,2,0.2,False,12.5,12.5,10,15
full_ct_ngtdm_Strength,2,0.2,False,14.0,14.0,13,15
