fold,fpr,tpr,auc
1,0.0,0.0,0.6944444444444444
1,0.0,0.125,0.6944444444444444
1,0.0,0.25,0.6944444444444444
1,0.2222222222222222,0.25,0.6944444444444444
1,0.2222222222222222,0.625,0.6944444444444444
1,0.4444444444444444,0.625,0.6944444444444444
1,0.4444444444444444,0.75,0.6944444444444444
1,0.5555555555555556,0.75,0.6944444444444444
1,0.5555555555555556,0.875,0.6944444444444444
1,0.7777777777777778,0.875,0.6944444444444444
1,0.7777777777777778,1.0,0.6944444444444444
1,1.0,1.0,0.6944444444444444
2,0.0,0.0,0.5763888888888888
2,0.0,0.125,0.5763888888888888
2,0.0,0.25,0.5763888888888888
2,0.1111111111111111,0.25,0.5763888888888888
2,0.2222222222222222,0.375,0.5763888888888888
2,0.2222222222222222,0.5,0.5763888888888888
2,0.5555555555555556,0.5,0.5763888888888888
2,0.5555555555555556,0.625,0.5763888888888888
2,0.8888888888888888,0.875,0.5763888888888888
2,1.0,0.875,0.5763888888888888
2,1.0,1.0,0.5763888888888888
3,0.0,0.0,0.40625
3,0.0,0.25,0.40625
3,0.5,0.25,0.40625
3,0.5,0.375,0.40625
3,0.75,0.375,0.40625
3,0.75,0.625,0.40625
3,0.875,0.625,0.40625
3,0.875,0.875,0.40625
3,1.0,0.875,0.40625
3,1.0,1.0,0.40625
4,0.0,0.0,0.671875
4,0.0,0.125,0.671875
4,0.0,0.25,0.671875
4,0.125,0.25,0.671875
4,0.125,0.5,0.671875
4,0.5,0.5,0.671875
4,0.5,0.625,0.671875
4,0.625,0.625,0.671875
4,0.625,1.0,0.671875
4,1.0,1.0,0.671875
5,0.0,0.0,0.7301587301587302
5,0.0,0.14285714285714285,0.7301587301587302
5,0.0,0.42857142857142855,0.7301587301587302
5,0.1111111111111111,0.42857142857142855,0.7301587301587302
5,0.1111111111111111,0.7142857142857143,0.7301587301587302
5,0.6666666666666666,0.7142857142857143,0.7301587301587302
5,0.6666666666666666,0.8571428571428571,0.7301587301587302
5,1.0,0.8571428571428571,0.7301587301587302
5,1.0,1.0,0.7301587301587302
