feature,count,proportion,in_all_seeds,mean_rank,median_rank,best_rank,worst_rank
cerebrum_frontallobe_glszm_LargeAreaEmphasis_RL_absdiff,10,1.0,True,10.9,8.5,3,27
cerebrum_frontallobe_glszm_LargeAreaLowGrayLevelEmphasis_RL_absdiff,10,1.0,True,11.2,3.0,1,47
cerebrum_frontallobe_glszm_ZoneVariance_RL_absdiff,10,1.0,True,13.3,7.5,1,45
cerebrum_frontallobe_glszm_LargeAreaHighGrayLevelEmphasis_RL_absdiff,9,0.9,False,12.0,8.0,4,25
cerebrum_sub-lobar_firstorder_Energy_RL_absdiff,9,0.9,False,13.333333333333334,8.0,2,42
cerebrum_sub-lobar_firstorder_TotalEnergy_RL_absdiff,9,0.9,False,14.11111111111111,6.0,1,47
cerebrum_limbiclobe_ngtdm_Coarseness_RL_absdiff,9,0.9,False,16.0,18.0,2,39
cerebrum_sub-lobar_firstorder_RootMeanSquared_RL_absdiff,9,0.9,False,17.555555555555557,10.0,3,45
cerebrum_temporallobe_glszm_LargeAreaLowGrayLevelEmphasis_RL_absdiff,8,0.8,False,5.0,5.0,1,9
cerebrum_temporallobe_glszm_LargeAreaEmphasis_RL_absdiff,8,0.8,False,5.375,5.0,1,11
cerebrum_temporallobe_glszm_ZoneVariance_RL_absdiff,8,0.8,False,18.25,6.0,1,49
cerebrum_sub-lobar_firstorder_Mean_RL_absdiff,8,0.8,False,25.375,25.0,4,44
cerebrum_temporallobe_glcm_Autocorrelation_RL_absdiff,6,0.6,False,11.833333333333334,12.5,6,15
cerebrum_temporallobe_gldm_HighGrayLevelEmphasis_RL_absdiff,6,0.6,False,17.166666666666668,15.0,5,37
cerebrum_sub-lobar_firstorder_Skewness_RL_absdiff,6,0.6,False,19.833333333333332,14.0,5,50
cerebrum_frontallobe_glszm_GrayLevelNonUniformityNormalized_RL_absdiff,6,0.6,False,27.166666666666668,29.5,15,38
cerebrum_temporallobe_glrlm_HighGrayLevelRunEmphasis_RL_absdiff,5,0.5,False,16.4,18.0,10,22
cerebrum_temporallobe_glszm_LargeAreaHighGrayLevelEmphasis_RL_absdiff,5,0.5,False,25.8,28.0,16,33
cerebrum_temporallobe_firstorder_TotalEnergy_RL_absdiff,5,0.5,False,26.8,17.0,14,46
cerebrum_temporallobe_firstorder_RootMeanSquared_RL_absdiff,5,0.5,False,28.2,30.0,13,47
cerebrum_temporallobe_firstorder_Energy_RL_absdiff,5,0.5,False,31.8,41.0,11,48
cerebrum_sub-lobar_glcm_ClusterShade_RL_absdiff,5,0.5,False,33.0,40.0,13,49
cerebrum_frontallobe_firstorder_Kurtosis_RL_absdiff,4,0.4,False,26.75,27.5,14,38
cerebrum_sub-lobar_firstorder_Median_RL_absdiff,4,0.4,False,28.0,30.5,9,42
cerebrum_temporallobe_glrlm_ShortRunHighGrayLevelEmphasis_RL_absdiff,4,0.4,False,32.5,30.0,25,45
cerebellum_anteriorlobe_glcm_ClusterShade_RL_ratio,3,0.3,False,15.0,15.0,9,21
cerebrum_temporallobe_glrlm_GrayLevelVariance_RL_absdiff,3,0.3,False,19.666666666666668,19.0,9,31
cerebrum_temporallobe_firstorder_90Percentile_RL_absdiff,3,0.3,False,20.0,20.0,16,24
cerebrum_sub-lobar_glrlm_RunVariance_RL_absdiff,3,0.3,False,23.0,25.0,1,43
cerebrum_sub-lobar_glcm_JointEntropy_RL_absdiff,3,0.3,False,25.0,22.0,6,47
cerebrum_temporallobe_glcm_Contrast_RL_absdiff,3,0.3,False,25.333333333333332,26.0,14,36
cerebrum_sub-lobar_glcm_SumEntropy_RL_absdiff,3,0.3,False,29.0,24.0,15,48
cerebrum_temporallobe_glcm_DifferenceEntropy_RL_absdiff,3,0.3,False,29.333333333333332,25.0,23,40
cerebrum_sub-lobar_firstorder_Entropy_RL_absdiff,3,0.3,False,31.666666666666668,42.0,10,43
cerebrum_temporallobe_glcm_DifferenceVariance_RL_absdiff,3,0.3,False,34.0,39.0,24,39
cerebrum_sub-lobar_glrlm_GrayLevelVariance_RL_absdiff,3,0.3,False,36.0,31.0,28,49
brainstem_midbrain_glrlm_GrayLevelNonUniformityNormalized_RL_absdiff,3,0.3,False,38.666666666666664,50.0,16,50
cerebellum_posteriorlobe_glszm_LowGrayLevelZoneEmphasis_RL_absdiff,2,0.2,False,6.0,6.0,2,10
cerebrum_frontallobe_glszm_ZoneEntropy_RL_absdiff,2,0.2,False,9.5,9.5,7,12
brainstem_midbrain_ngtdm_Busyness_RL_ratio,2,0.2,False,11.0,11.0,5,17
cerebrum_temporallobe_glrlm_RunLengthNonUniformity_RL_absdiff,2,0.2,False,14.5,14.5,12,17
cerebrum_sub-lobar_glcm_Correlation_RL_absdiff,2,0.2,False,15.5,15.5,13,18
cerebrum_frontallobe_firstorder_Median_RL_absdiff,2,0.2,False,16.0,16.0,13,19
cerebrum_temporallobe_gldm_DependenceEntropy_RL_absdiff,2,0.2,False,18.0,18.0,10,26
rightcerebrum_temporallobe_glrlm_GrayLevelVariance,2,0.2,False,18.0,18.0,15,21
cerebrum_temporallobe_glcm_JointEnergy_RL_absdiff,2,0.2,False,21.0,21.0,12,30
rightcerebrum_temporallobe_glcm_Imc2,2,0.2,False,21.0,21.0,18,24
cerebrum_temporallobe_firstorder_MeanAbsoluteDeviation_RL_absdiff,2,0.2,False,22.0,22.0,19,25
rightcerebrum_temporallobe_glszm_GrayLevelVariance,2,0.2,False,22.5,22.5,4,41
cerebrum_sub-lobar_glcm_MCC_RL_absdiff,2,0.2,False,23.0,23.0,23,23
cerebrum_temporallobe_glcm_JointAverage_RL_absdiff,2,0.2,False,23.5,23.5,23,24
cerebrum_sub-lobar_glcm_Imc2_RL_absdiff,2,0.2,False,23.5,23.5,17,30
leftcerebrum_sub-lobar_firstorder_Skewness,2,0.2,False,24.0,24.0,21,27
cerebrum_temporallobe_glcm_SumAverage_RL_absdiff,2,0.2,False,25.5,25.5,22,29
rightcerebrum_frontallobe_glrlm_GrayLevelVariance,2,0.2,False,27.0,27.0,18,36
cerebrum_temporallobe_gldm_DependenceVariance_RL_absdiff,2,0.2,False,27.5,27.5,18,37
cerebrum_sub-lobar_firstorder_90Percentile_RL_absdiff,2,0.2,False,28.0,28.0,25,31
cerebrum_sub-lobar_glrlm_LongRunEmphasis_RL_absdiff,2,0.2,False,29.5,29.5,13,46
cerebrum_temporallobe_gldm_SmallDependenceHighGrayLevelEmphasis_RL_absdiff,2,0.2,False,30.5,30.5,29,32
cerebrum_limbiclobe_firstorder_90Percentile_RL_absdiff,2,0.2,False,30.5,30.5,23,38
cerebrum_frontallobe_glszm_GrayLevelVariance_RL_absdiff,2,0.2,False,31.0,31.0,22,40
rightcerebrum_temporallobe_glrlm_GrayLevelNonUniformityNormalized,2,0.2,False,33.0,33.0,17,49
full_ct_ngtdm_Strength,2,0.2,False,35.0,35.0,29,41
