fold,fpr,tpr,auc
1,0.0,0.0,0.7291666666666667
1,0.2222222222222222,0.5,0.7291666666666667
1,0.3333333333333333,0.5,0.7291666666666667
1,0.4444444444444444,0.75,0.7291666666666667
1,0.4444444444444444,0.875,0.7291666666666667
1,0.5555555555555556,1.0,0.7291666666666667
1,1.0,1.0,0.7291666666666667
2,0.0,0.0,0.3888888888888889
2,0.0,0.125,0.3888888888888889
2,0.0,0.25,0.3888888888888889
2,0.4444444444444444,0.25,0.3888888888888889
2,0.4444444444444444,0.375,0.3888888888888889
2,0.7777777777777778,0.375,0.3888888888888889
2,0.7777777777777778,0.5,0.3888888888888889
2,0.8888888888888888,0.5,0.3888888888888889
2,0.8888888888888888,0.875,0.3888888888888889
2,1.0,0.875,0.3888888888888889
2,1.0,1.0,0.3888888888888889
3,0.0,0.0,0.640625
3,0.0,0.125,0.640625
3,0.0,0.375,0.640625
3,0.125,0.375,0.640625
3,0.125,0.5,0.640625
3,0.25,0.5,0.640625
3,0.25,0.625,0.640625
3,0.625,0.625,0.640625
3,0.625,0.75,0.640625
3,0.875,0.75,0.640625
3,0.875,0.875,0.640625
3,1.0,0.875,0.640625
3,1.0,1.0,0.640625
4,0.0,0.0,0.390625
4,0.0,0.125,0.390625
4,0.0,0.25,0.390625
4,0.125,0.25,0.390625
4,0.125,0.375,0.390625
4,0.75,0.375,0.390625
4,0.75,0.5,0.390625
4,1.0,0.5,0.390625
4,1.0,1.0,0.390625
5,0.0,0.0,0.6825396825396826
5,0.0,0.14285714285714285,0.6825396825396826
5,0.0,0.2857142857142857,0.6825396825396826
5,0.1111111111111111,0.2857142857142857,0.6825396825396826
5,0.1111111111111111,0.5714285714285714,0.6825396825396826
5,0.2222222222222222,0.5714285714285714,0.6825396825396826
5,0.2222222222222222,0.7142857142857143,0.6825396825396826
5,0.7777777777777778,0.7142857142857143,0.6825396825396826
5,0.7777777777777778,0.8571428571428571,0.6825396825396826
5,1.0,0.8571428571428571,0.6825396825396826
5,1.0,1.0,0.6825396825396826
